Code gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;Agence gare;Région SNCF;Unité gare;UT;Nbre plateformes;N° plateforme;Intitulé plateforme;Code postal;Commune;Département - Commune;Département;Région;Longitude WGS84;Latitude WGS84;Code UIC;TVS;Segment DRG;Niveau de service;SOP;RG;Date fin validité plateforme;WGS 84
00959;Lisle-sur-Tarn;Lisle-sur-Tarn;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Lisle-sur-Tarn;81310;Lisle-sur-Tarn;81-145;Tarn;Occitanie;1.80823;43.85639;0087615310;LSU;c;1;;;;43.85639, 1.80823
00960;Carcassonne;Carcassonne;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Carcassonne;11000;Carcassonne;11-069;Aude;Occitanie;2.351824;43.218029;0087615286;CNE;a;2;;;;43.218029, 2.351824
00961;Quillan;Quillan;Oui;Non;AG Méditerranée;REGION LANGUEDOC-ROUSSILLON;UG Languedoc Roussillon;;1;1;Quillan;11500;Quillan;11-304;Aude;Occitanie;2.1815581;42.8739607;0087615260;QUI;c;1;;;;42.8739607, 2.1815581
00963;Tessonnières;Tessonnières;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Tessonnières;81600;Gaillac;81-099;Tarn;Occitanie;1.9369531;43.9284209;0087615245;TES;c;1;;;;43.9284209, 1.9369531
00980;Cordes - Vindrac;Cordes - Vindrac;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Cordes - Vindrac;81170;Vindrac-Alayrac;81-320;Tarn;Occitanie;1.900229;44.067189;0087613802;VDC;c;1;;;;44.067189, 1.900229
00983;Lexos;Lexos;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Lexos;82330;Varen;82-187;Tarn-et-Garonne;Occitanie;1.8851014;44.1423958;0087613489;LEX;c;1;;;;44.1423958, 1.8851014
00995;Capdenac;Capdenac;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Capdenac;12700;Capdenac-Gare;12-052;Aveyron;Occitanie;2.0779632;44.5782458;0087613109;CDC;c;1;;;;44.5782458, 2.0779632
00998;Gramat;Gramat;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Gramat;46500;Gramat;46-128;Lot;Occitanie;1.7223028;44.7734284;0087613059;GRT;c;1;;;;44.7734284, 1.7223028
01000;Cahors;Cahors;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Cahors;46000;Cahors;46-042;Lot;Occitanie;1.433325;44.449275;0087613000;CAH;b;2;;;;44.449275, 1.433325
01005;Route de Launaguet;Route de Launaguet;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Route de Launaguet;31140;Toulouse;31-555;Haute-Garonne;Occitanie;1.439154;43.6354791;0087611954;RLA;c;1;;;;43.6354791, 1.439154
01007;Lardenne;Lardenne;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Lardenne;31000;Toulouse;31-555;Haute-Garonne;Occitanie;1.3839252;43.5966262;0087611939;KPL;c;1;;;;43.5966262, 1.3839252
01012;Valence d'Agen;Valence d'Agen;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Valence d'Agen;82400;Valence;82-186;Tarn-et-Garonne;Occitanie;0.8915743;44.1117317;0087611863;VCD;c;1;;;;44.1117317, 0.8915743
01014;Montrabé;Montrabé;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Montrabé;31850;Montrabé;31-389;Haute-Garonne;Occitanie;1.5240482;43.6450204;0087611848;MTB;c;1;;;;43.6450204, 1.5240482
01015;Pibrac;Pibrac;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Pibrac;31820;Pibrac;31-417;Haute-Garonne;Occitanie;1.289237;43.621364;0087611830;PBR;b;1;;;;43.621364, 1.289237
01017;Mérenvielle;Mérenvielle;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Mérenvielle;31530;Mérenvielle;31-339;Haute-Garonne;Occitanie;1.1503303;43.6365051;0087611814;MWE;c;1;;;;43.6365051, 1.1503303
01041;Lavilledieu;Lavilledieu;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Lavilledieu;82290;Ville-Dieu-du-Temple;82-096;Tarn-et-Garonne;Occitanie;1.2149646;44.0355186;0087611459;LIX;c;1;;;;44.0355186, 1.2149646
01042;Lacourtensourt;Lacourtensourt;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Lacourtensourt;31200;Toulouse;31-555;Haute-Garonne;Occitanie;1.4138687;43.6638838;0087611434;LNT;c;1;;;;43.6638838, 1.4138687
01051;Saint-Agne;Saint-Agne;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Saint-Agne;31520;Toulouse;31-555;Haute-Garonne;Occitanie;1.450209;43.579674;0087611301;XAE;b;1;;;;43.579674, 1.450209
01058;Labarthe-Inard;Labarthe-Inard;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Labarthe-Inard;31800;Labarthe-Inard;31-246;Haute-Garonne;Occitanie;0.8519176;43.1049687;0087611129;LAX;c;1;;;;43.1049687, 0.8519176
01060;Saint-Martory;Saint-Martory;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Saint-Martory;31360;Saint-Martory;31-503;Haute-Garonne;Occitanie;0.934859;43.1385721;0087611103;SYM;c;1;;;;43.1385721, 0.934859
01067;Muret;Muret;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TER;;1;1;Muret;31600;Muret;31-395;Haute-Garonne;Occitanie;1.324449;43.464824;0087611038;MET;b;2;;;;43.464824, 1.324449
01068;Toulouse Matabiau;Toulouse Matabiau;Oui;Non;AG Sud-Ouest;REGION MIDI PYRENEES;UG Midi Pyrenées TGV-TEOZ;;1;1;Toulouse Matabiau;31500;Toulouse;31-555;Haute-Garonne;Occitanie;1.453616;43.611206;0087611004;TSE;a;3;;;;43.611206, 1.453616
01074;Lavaufranche;Lavaufranche;Oui;Non;AG Sud-Ouest;REGION LIMOUSIN;UG EEV Limousin;;1;1;Lavaufranche;23600;Lavaufranche;23-104;Creuse;Nouvelle-Aquitaine;2.2700972;46.3212869;0087597740;LVF;c;1;;;;46.3212869, 2.2700972
01076;Busseau sur Creuse;Busseau sur Creuse;Oui;Non;AG Sud-Ouest;REGION LIMOUSIN;UG EEV Limousin;;1;1;Busseau sur Creuse;23150;Ahun;23-001;Creuse;Nouvelle-Aquitaine;2.0229244;46.1230257;0087597708;BUC;c;1;;;;46.1230257, 2.0229244
01080;Guéret;Guéret;Oui;Non;AG Sud-Ouest;REGION LIMOUSIN;UG EEV Limousin;;1;1;Guéret;23000;Guéret;23-096;Creuse;Nouvelle-Aquitaine;1.8793855;46.1741863;0087597609;GTJ;c;1;;;;46.1741863, 1.8793855
01098;Les Eyzies;Les Eyzies;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Les Eyzies;24620;Eyzies-de-Tayac-Sireuil;24-172;Dordogne;Nouvelle-Aquitaine;1.0081942;44.9411916;0087595736;EYZ;c;1;;;;44.9411916, 1.0081942
01107;Périgueux Saint-Georges;Périgueux Saint-Georges;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Périgueux Saint-Georges;24019;Périgueux;24-322;Dordogne;Nouvelle-Aquitaine;0.7336349;45.1783328;0087595504;PSG;c;1;;;;45.1783328, 0.7336349
01108;Montpon-Ménestérol;Montpon-Ménestérol;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Montpon-Ménestérol;24700;Montpon-Ménestérol;24-294;Dordogne;Nouvelle-Aquitaine;0.159328;45.006326;0087595322;MPI;b;1;;;;45.006326, 0.159328
01109;Mussidan;Mussidan;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Mussidan;24400;Mussidan;24-299;Dordogne;Nouvelle-Aquitaine;0.354071;45.034329;0087595298;MUS;b;1;;;;45.034329, 0.354071
01110;Douzillac;Douzillac;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Douzillac;24190;Douzillac;24-157;Dordogne;Nouvelle-Aquitaine;0.4173893;45.0794691;0087595280;DUZ;c;1;;;;45.0794691, 0.4173893
01116;Marsac;Marsac;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Marsac;24430;Marsac-sur-l'Isle;24-256;Dordogne;Nouvelle-Aquitaine;0.6626174;45.1860541;0087595207;MRA;c;1;;;;45.1860541, 0.6626174
01117;Château-l'Évêque;Château-l'Évêque;Oui;Non;AG Sud-Ouest;REGION POITOU-CHARENTES AQUITAINE;UG EEV Aquitaine;;1;1;Château-l'Évêque;24460;Château-l'Évêque;24-115;Dordogne;Nouvelle-Aquitaine;0.6882106;45.2445887;0087595165;CEQ;c;1;;;;45.2445887, 0.6882106
